rank,category,score,designation,alt_names,country,manufacturer,description,key_specs,source_urls
11,Sea-launched cruise missiles,79.5,Burevestnik 9M730 SSC-X-9 Skyfall,,Russia,,"The Burevestnik 9M730 is a nuclear-powered, nuclear-armed cruise missile developed by the Russian Federation. Designed to evade modern air and missile defense systems by flying at low altitudes with u","Type: Nuclear-powered cruise missile (surface-to-surface) | Country users: Russia | Designer Country: Russia | Launch Weight: Estimated significantly higher than conventional cruise missiles | Dimensions: Length: Approx. 12 m (with booster), 9 m (in cruise); Diameter: Approx. 1 m; Wingspan: Approx. 6 m",https://www.armyrecognition.com/military-products/army/missiles/cruise-missiles/burevestnik-9m730-ssc-x-9-skyfall
12,Sea-launched cruise missiles,79.5,Flamingo FP-5 cruise missile UAS,,Ukraine,,"The FP-5 Flamingo is a modern ground-launch UAV system/cruise missile developed by the Ukrainian defense company Fire Point. Designed as a long-range precision strike system, it combines the operation","Type: Ground-launch UAV system/cruise missile | Country users: Ukraine | Designer Country: Ukraine | Launch Weight: Maximum take-off weight: 6,000 kg | Dimensions: Length: 12 to 14 m; Wingspan: 7 m; Diameter: 0.61 m (Estimated Size)",https://www.armyrecognition.com/military-products/army/missiles/cruise-missiles/flamingo-fp-5-cruise-missile-uas
13,Sea-launched cruise missiles,79.5,JSM Joint Strike Missile AGM-184,,"Australia, Finland, Japan, Norway, United States",,"The Joint Strike Missile (JSM) is a next-generation air-launched cruise missile developed by Kongsberg Defence & Aerospace, Norway's leading defense contractor, in collaboration with Raytheon Missiles","Type: Air-launched precision-guided cruise missile | Country users: Australia, Finland, Japan, Norway, United States | Designer Country: Norway (Kongsberg Defence & Aerospace) | Launch Weight: 416 kg (917 lbs) | Dimensions: Length: 4.0 m; Diameter: 0.48 m; Wingspan: ~1.4 m",https://www.armyrecognition.com/military-products/army/missiles/cruise-missiles/jsm-joint-strike-missile
14,Sea-launched cruise missiles,79.5,Kh-101 AS-23A Kodiak,,Missile Launch Weight,,The Kh-101 is a Russian-made advanced stealthy long-range subsonic cruise missile that is launched from a strategic bomber. The missile was developed in the late 1990s by Russia's Tactical Missile Arm,Type: Range | Country users: Missile Launch Weight | Designer Country: Speed | Missile Launch Weight: Russia | Dimensions: less than 10 m,https://www.armyrecognition.com/military-products/army/missiles/cruise-missiles/kh-101-advanced-stealthy-long-range-subsonic-cruise-missile-data
15,Sea-launched cruise missiles,79.5,Kh-555,,Missile Launch Weight,,"The Kh-555 is a Russian long-range, subsonic cruise missile with a conventional or nuclear warhead, and its history can be traced back to the development of the Kh-55 in the late 1970s and early 1980s",Type: Range | Type of Warheads: Altitude Launch | Country users: Missile Launch Weight | Designer Country: Speed | Missile Launch Weight: Russia,https://www.armyrecognition.com/military-products/army/missiles/cruise-missiles/kh-555-air-launched-subsonic-cruise-missile-technical-data
16,Sea-launched cruise missiles,79.5,Kh-59 Ovod AS-13 Kingbolt,,"Algeria, China, India, Russia",,"The Kh-59 cruise missile NATO-code named AS-13 Kingbolt, developed by the Russian Tactical Missiles Corporation (KTRV), is an air-launched subsonic missile designed for precision strikes against both ","Type: Air-launched long-range cruise missile | Country users: Algeria, China, India, Russia | Designer Country: Russia | Weight: 930 kg | Dimensions: Length: 5.37 m; Diameter: 0.38 m; Wingspan: 1.26 m",https://www.armyrecognition.com/military-products/army/missiles/cruise-missiles/kh-59-ovod-as-13-kingbolt
17,Sea-launched cruise missiles,79.5,Kh-69 Х-69,,Russia,,"The Kh-69 cruise missile, developed by Tactical Missiles Corporation (KTRV) and designed by MKB Raduga, is a modern air-launched subsonic missile intended for precision strikes against high-value stat",Type: Subsonic air-launched cruise missile. | Country users: Russia | Designer Country: Russia | Weight: Up to 800 kg | Dimensions: Length: 6.0 m; Diameter: 0.42 m; Wingspan: 1.5 m,https://www.armyrecognition.com/military-products/army/missiles/cruise-missiles/kh-69-h-69
18,Sea-launched cruise missiles,79.5,NMESIS Navy-Marine Expeditionary Ship Interdiction System,,United States,,The NMESIS (Navy Marine Expeditionary Ship Interdiction System) is a highly mobile coastal anti-ship missile system developed to provide the U.S. Marine Corps with the ability to strike enemy surface ,Type: Ground-based Anti-Ship Missile System (GBASM) | Country users: United States | Designer Country: United States | Launch Weight Missile: Approximately 400 kg (880 lbs) for the Naval Strike Missile (NSM) | Dimensions Vehicle: Length: 5.5 m; Width: 2.5 m; Height: 2.3 m,https://www.armyrecognition.com/military-products/navy/weapons-systems/missiles/nmesis-navy-marine-expeditionary-ship-interdiction-system
19,Sea-launched cruise missiles,79.5,P-800 Oniks 3M55 Yakhont SS-N-26 Strobile,,"India, Indonesia, Russia, Syria, Vietnam",,"The P-800 Oniks 3M55, also known by its NATO designation SS-N-26 ""Strobile,"" is a Russian supersonic cruise missile developed by NPO Mashinostroyeniya. Designed as a multi-role weapon, it can function","Type: Supersonic anti-ship cruise missile | Country users: India, Indonesia, Russia, Syria, Vietnam | Designer Country: Russia / India | Launch Weight: 3,000 kg (6,614 pounds) | Dimensions: Length: 8.6 m; Diameter: 0.67 m; Wingspan: 1.7 m",https://www.armyrecognition.com/military-products/navy/weapons-systems/missiles/p-800-oniks-3m55-yakhont-ss-n-26-strobile
20,Sea-launched cruise missiles,79.5,RIM-7 Sea Sparrow Surface-to-Air Missile,,"Australia, Canada, Denmark, Greece, Japan, Netherlands, Norway, Spain, Turkey, United Kingdom, United Staes, South Korea, Germany, Saudi Arabia, Qatar.",,"The RIM-7 Sea Sparrow is a radar-guided, medium-range surface-to-air missile designed primarily for naval air defense. Developed to counter a variety of aerial threats, including anti-ship missiles, a","Type: Surface-to-air missile (SAM), medium-range, radar-guided. | Country users: Australia, Canada, Denmark, Greece, Japan, Netherlands, Norway, Spain, Turkey, United Kingdom, United Staes, South Korea, Germany, Saudi Arabia, Qatar. | Designer Country: United States (Initially developed by Hughes Aircraft, now produced by Raytheon). | Launch Weight Missile: Approximately 227 kg (500 lbs). | Dimensions Missile: Length: 3.66 m; Diameter: 0.18 m; Wingspan: 1.15 m",https://www.armyrecognition.com/military-products/navy/weapons-systems/missiles/rim-7-sea-sparrow-surface-to-air-missile
21,Sea-launched cruise missiles,79.5,ROGUE-Fires Carrier,,United States,,"The ROGUE-Fires Carrier vehicle is a key element of the NMESIS (Naval Mobile Expeditionary Security/Anti-Surface) system, developed to provide the U.S. Marine Corps with a mobile, land-based anti-ship",Type: Unmanned Ground Vehicle (UGV) serving as a mobile coastal defense and anti-ship missile platform. | Country users: United States | Designer Country: United States (Raytheon Missiles & Defense and Oshkosh Defense) | Launch Weight Missile: Approximately 400 kg (880 lbs) per Naval Strike Missile (NSM). | Dimensions Vehicle: Length: 6.2 m; Width: 2.5 m; Height: ? m,https://www.armyrecognition.com/military-products/navy/weapons-systems/missiles/rogue-fires-carrier
22,Sea-launched cruise missiles,79.5,SM-6 Standard Missile 6,,"Australia, Japan, South Korea, United States",,The Standard Missile 6 (SM-6) is a highly versatile and advanced shipborne surface-to-air and surface-to-surface missile developed by Raytheon for the United States Navy. Designed to provide extensive,"Type: Surface-to-air and surface-to-surface missile (anti-air, anti-missile, and anti-surface roles) | Launcher Types: - Vertical Launch System (VLS)- Compatible with Arleigh Burke-class destroyers, Ticonderoga-class cruisers, and other ships equipped with Aegis Combat System- Mid-Range Capability Typhon Missile Launcher | Country users: Australia, Japan, South Korea, United States | Designer Country: United States (Raytheon Missiles & Defense) | Launch Weight: Around 2,200 pounds (1,000 kg)",https://www.armyrecognition.com/military-products/navy/weapons-systems/missiles/sm-6-standard-missile-6
23,Air-launched munitions,78.6,AASM Hammer,,"France, Croatia, Egypt, India, Morocco, Qatar, Ukraine",,"The Armement Air-Sol Modulaire (AASM), commonly known as the AASM Hammer (Highly Agile Modular Munition Extended Range), is a French-developed, all-weather, smart air-to-surface stand-off weapon. Desi","Type: Precision-guided, air-to-surface, stand-off munition - bomb | Country users: France, Croatia, Egypt, India, Morocco, Qatar, Ukraine | Designer Country: France | Launch Weight: Approximately 340 kg (750 lb) for the 250 kg warhead configuration. | Dimensions: Length: 3.1 m; Diameter: 0.32 m; Wingspan: 0.78 m",https://www.armyrecognition.com/military-products/army/missiles/bombs/aasm-hammer
24,Air-launched munitions,78.6,AGM-154 JSOW Joint Standoff Weapon,,"Australia, Canada, Finland, Greece, Morocco, Netherlands, Poland, Qatar, Saudi Arabia, Singapore, Taiwan, Türkiye, Ukraine, United Arab Emirates, United States",,"The AGM-154 JSOW is a precision-guided, long-range glide bomb developed by Raytheon for the U.S. Navy and Air Force. It allows aircraft to strike from beyond enemy air defenses, making it a versatile ","Type: Air-to-surface glide bomb | Country users: Australia, Canada, Finland, Greece, Morocco, Netherlands, Poland, Qatar, Saudi Arabia, Singapore, Taiwan, Türkiye, Ukraine, United Arab Emirates, United States | Designer Country: United States | Launch Weight: 483 kg | Dimensions: Length: 4.1 m; Diameter: 33,02 cm; Wingspan: 2.69 m",https://www.armyrecognition.com/military-products/army/missiles/bombs/agm-154-jsow-joint-standoff-weapon
25,Air-launched munitions,78.6,AMRAAM AIM-120 Air-to-Air Missile,,"United States, Canada, United Kingdom, Germany, France, Italy, Spain, Netherlands, Norway, Denmark, Belgium, Greece, Poland, Turkey, Portugal, Finland, Sweden, Czech Republic, Romania, Hungary, Croatia, Japan, Australia, South Korea, Singapore, Malaysia, Indonesia, New Zealand, Taiwan, Israel, Saudi Arabia, United Arab Emirates, Qatar, Kuwait, Oman, Jordan, Morocco, Egypt, Chile.",,The AIM-120 Advanced Medium-Range Air-to-Air Tactical Missile (AMRAAM) is a highly advanced beyond-visual-range air-to-air missile (BVR AAM) with surface-to-air missile (SAM) capabilities. Developed t,"Type: Air-to-air tactical missile | Country users: United States, Canada, United Kingdom, Germany, France, Italy, Spain, Netherlands, Norway, Denmark, Belgium, Greece, Poland, Turkey, Portugal, Finland, Sweden, Czech Republic, Romania, Hungary, Croatia, Japan, Australia, South Korea, Singapore, Malaysia, Indonesia, New Zealand, Taiwan, Israel, Saudi Arabia, United Arab Emirates, Qatar, Kuwait, Oman, Jordan, Morocco, Egypt, Chile. | Designer Country: United States | Launch Weight: 150.75 kg | Dimensions: Length: 3.65 m; Diameter: 0.178 m; Wingspan: 0.53 m",https://www.armyrecognition.com/military-products/army/missiles/tactical-missiles/amraam-aim-120-air-to-air-missile
26,Air-launched munitions,78.6,GBU-39 SDB,,"United States, Israel, Norway, South Korea, Australia, Netherlands, Saudi Arabia, and others",,"The GBU‑39 Small Diameter Bomb (SDB) is a 250-pound class (113 kg) precision-guided glide munition developed by Boeing Defense, Space & Security for the United States Air Force. Compact and highly acc","Type: Small Diameter Bomb Precision-guided glide munition | Country users: United States, Israel, Norway, South Korea, Australia, Netherlands, Saudi Arabia, and others | Designer Country: United States (Boeing Defense, Space & Security) | Weight: 129 kg (285 pounds); warhead ~93 kg (203 pounds) | Dimensions: Length: 1.8 m; Diameter: 0.19 m; Wingspan: 1.5 m",https://www.armyrecognition.com/military-products/army/missiles/bombs/gbu-39-sdb
27,Air-launched munitions,78.6,GBU-57 GBU-57A/B MOP bunker-buster bomb,,United Staes,,"The GBU-57A/B Massive Ordnance Penetrator (MOP) is a precision-guided, deep-penetration bomb developed by the American Company Boeing for the United States Air Force. Designed to defeat deeply buried ","Type: Precision-guided deep-penetration bomb | Country users: United Staes | Designer Country: United States | Weight: Approximately 13,600 kilograms (30,000 pounds) | Dimensions: Length: 6.2 m; Diameter: 0.8 m; Wingspan: ~ 2.0 m",https://www.armyrecognition.com/military-products/army/missiles/bombs/gbu-57-gbu-57a-b-mop-bunker-buster-bomb
28,Air-launched munitions,78.6,GBU-75 JDAM-LR Joint Direct Attack Munition Long-Range Bomb,,United States,,"The GBU-75 JDAM-LR (Joint Direct Attack Munition Long Range) is a new-generation long-range precision-strike weapon developed by Boeing for the U.S. military. Derived from the extensive JDAM program, ",Type: Long-range powered precision-guided air-to-surface munition | Country users: United States | Designer Country: United States - Boeing | Launch Weight: Complete launch weight not publicly disclosed; 500 lb-class (226 kg) payload capacity | Dimensions: Length: ? m; Wingspan: ? m; Diameter: ? m,https://www.armyrecognition.com/military-products/army/missiles/bombs/jdam-lr-joint-direct-attack-munition-long-range
29,Air-launched munitions,78.6,GLSDB Ground-Launched Small-Diameter Bomb,,Weight,,"The GLSDB (Ground Launched Small Diameter Bomb) is a long-range, precision-guided weapon system developed jointly by the United States and Sweden. It combines the proven capabilities of two existing w",Type: Range | Type of warheads: Altitude | Country users: Weight | Designer Country: Speed | Weight: United States,https://www.armyrecognition.com/military-products/army/missiles/bombs/glsdb-ground-launched-small-diameter-bomb-technical-data
30,Air-launched munitions,78.6,JDAM JDAM-ER,,Launch Weight,,"The Joint Direct Attack Munition (JDAM) and JDAM-ER (Extended Range) serve as a guidance system, transforming unguided or ""dumb"" bombs into all-weather, precision-guided weaponry. This technology was ",Type: Accuracy | Country users: Launch Weight | Designer Country: Ceiling | Launch Weight: In service with 37 countries all over the world. | Length: GBU-31: 63.5 cm; GBU-32: 49.8 cm; GBU-38: 35.6 cm,https://www.armyrecognition.com/military-products/army/missiles/bombs/jdam-joint-direct-attack-munition-gps-inertial-precision-strike-munition-data
31,Air-launched munitions,78.6,Kh-47 Kh-47M2 Kinzhal Dagger - AS-24 Killjoy,,Missile Launch Weight,,"The Kh-47 Kinzhal (Russian: Х-47 Кинжал), also known as the Dagger, NATO reporting name AS-24 Killjoy, is a Russian-made air-launched nuclear-capable hypersonic missile. It is a highly maneuverable an",Type: Range | Type of Warheads: Altitude | Country users: Missile Launch Weight | Designer Country: Speed | Missile Launch Weight: Russia,https://www.armyrecognition.com/military-products/army/missiles/hypersonic-missiles/kh-47-kinzhal-air-launched-nuclear-capable-hypersonic-missile-system-data
32,Naval vessels,77.7,Columbia-class submarine (SSBN),,United States (U.S. Navy),,The Columbia-class is the U.S. Navy's next-generation of nuclear-powered ballistic missile submarines (SSBNs) developed to replace the fourteen Ohio-class SSBNs that have formed the sea-based componen,Type: Nuclear-powered ballistic missile submarine (SSBN) | Country users: United States (U.S. Navy) | Designer Country: United States (General Dynamics Electric Boat; Newport News Shipbuilding) | Dimensions: Length: 171 m; Beam: 13 m; Height: Not specified | Speed: 20+ knots submerged,https://www.armyrecognition.com/military-products/navy/submarines/cruise-missile-submarines/columbia-class-submarine-ssbn
33,Naval vessels,77.7,Constellation class frigate FFGX FFG-62,,United States,,"The Constellation-class frigate is the U.S. Navy's modern, multi-mission guided-missile frigate, designed to address the demands of 21st-century naval warfare. Developed by Fincantieri Marinette Marin","Country users: United States | Designer Country: United States | Dimensions: Length: 496 ft (151.18 m); Beam: 65 ft (19.81 m); Height: 1.87 m | Engine and Propulsion: The frigate employs a Combined Diesel-Electric and Gas (CODLAG) propulsion system, featuring a General Electric LM2500+G4 gas turbine, 2 INDAR electric propulsion motors generating 3.4 MW each, and 4 Rolls-Royce MTU 20V 4000 M53B diesel generators for a combined output of 12 MW. This system powers 2 fixed-pitch propellers and an auxiliary hydraulic retractable thruster for enhanced maneuverability | Engines: CODLAG General Electric LM2500+G4 gas turbine, 2 × electric propulsion motors, 4 × ship service diesel generators Rolls-Royce MTU 20V 4000 M53B engine 3000 kW for a total output of 12 MW, 2 x fixed-pitch propellers, auxiliary propulsion unit Thrustmasters of Texas Hydrologic Retractable Thruster",https://www.armyrecognition.com/military-products/navy/frigates/constellation-class-frigate-ffgx-ffg-62
34,Naval vessels,77.7,Dolphin-class submarine,,Israeli Navy (Shayetet 7 submarine flotilla),,"Replacing the three smaller Gal-class submarines that had entered Israeli service from 1977, the Dolphin-class is a family of six diesel-electric attack submarines developed for the Israeli Navy’s Sha",Type: Diesel-electric attack submarine (SSK)Dolphin-I: Conventional diesel-electric attack submarineDolphin-II: Air-independent propulsion (AIP) diesel-electric attack submarine | Country users: Israeli Navy (Shayetet 7 submarine flotilla) | Designer Country: Israel (development and system integration)Germany (construction by Howaldtswerke-Deutsche Werft) | Dimensions: Dolphin-I: Length: 57.3 m; Beam: 6.8 m; Draught: 6.2 m.Dolphin-II: Length: 68.6 m; Beam: 6.8 m; Draught: 6.2 m.INS Drakon: Estimated length: 73-74 m; Beam: 6.8 m; Draught: 6.2 m. | Maximum submerged speed: Dolphin-I: 20 knots (37 km/h); Dolphin-II: over 25 knots (46 km/h),https://www.armyrecognition.com/military-products/navy/submarines/attack-submarines/dolphin-class-submarine-israel-technical-specs
35,Naval vessels,77.7,Dreadnought-class SSBN Submarine,,United Kingdom – Royal Navy Submarine Service,,The Dreadnought-class is the future generation of British nuclear-powered ballistic missile submarines (SSBNs) developed by the Royal Navy to replace the Vanguard-class and preserve the United Kingdom,Type: Nuclear-powered ballistic missile submarine (SSBN) | Country users: United Kingdom – Royal Navy Submarine Service | Designer Country: United KingdomPrimary manufacturer: BAE Systems Submarines | Dimensions: Length: approximately 153.6 m; Beam: approximately 12.8 m | Engine: - Rolls-Royce PWR3 pressurized water nuclear reactor- Turbo-electric drive system- Pump-jet propulsor,https://www.armyrecognition.com/military-products/navy/submarines/attack-submarines/dreadnought-class-ssbn-submarine
36,Naval vessels,77.7,E-2D Advanced Hawkeye,,United States,,"The E-2D Advanced Hawkeye (Enhanced/Block II configuration) is the most advanced operational standard in the Hawkeye series, engineered to deliver persistent airborne early warning, battle management,","Type: Carrier based airborne early warning, battle management, and command and control aircraft | Country users: United States | Designer Country: United States | Weight: Empty 18144 kg (40000 lb), Maximum takeoff 26082 kg (57500 lb) | Dimensions: Length: 17.53 m; Wingspan: 24.56 m; Height: 5.56 m",https://www.armyrecognition.com/military-products/navy/naval-aircraft/e-2d-advanced-hawkeye
37,Naval vessels,77.7,EA-18G Growler,,"Australia, United States",,"The Boeing EA-18G Growler is a carrier-based airborne electronic warfare attack aircraft designed to suppress, degrade, and exploit adversary electromagnetic systems while maintaining compatibility wi","Type: Carrier-based electronic warfare aircraft | Country users: Australia, United States | Designer Country: United States (Boeing; Northrop Grumman) | Weight: Maximum takeoff weight approximately 29,900 kg (65,900 lb) | Dimensions: Length 18.31 m (60 ft 1 in); Height 4.88 m (16 ft); Wingspan 13.62 m (44 ft 8 in)",https://www.armyrecognition.com/military-products/navy/naval-aircraft/ea-18g-growler
38,Naval vessels,77.7,FDI Frigate Belharra-class,,"France, Greece",,"The FDI Frégate de Défense et d’Intervention (Defense and Intervention Frigate) is an advanced class of multi-role frigates developed by Naval Group, a French naval shipbuilder. Commissioned by the Fr","Type: Multi-role first-rate frigate (classified as a destroyer by NATO) | Country users: France, Greece | Designer Country: France | Dimensions: Length: 122 m; Beam: 18 m; Height: 33 m | Engine: The FDI propulsion is provided by a Combined Diesel and Diesel (CODAD) system, producing up to 32 megawatts of power. This configuration propels the ship to a top speed of 27 knots and grants a range of 5,000 nautical miles at cruising speed. The design prioritizes acoustic discretion, vital for anti-submarine warfare, and endurance of up to 45 days. Twin controllable-pitch propellers offer maneuv",https://www.armyrecognition.com/military-products/navy/frigates/fdi-frigate
39,Naval vessels,77.7,GMF 140 Guided Missile Frigate,,None,,"The GMF 140 is a 140 m guided missile frigate developed by the German company Rheinmetall for anti-air warfare, ballistic missile defense, anti-submarine warfare, and long-range precision strike missi","Type: Guided missile frigate | Country users: None | Designer Country: Germany | Dimensions: Length: 140 m ; Beam: undisclosed; Height: undisclosed | Engine and propulsion: Rheinmetall has not disclosed the propulsion architecture of the GMF 140. The press release does not identify diesel engines, gas turbines, electric motors, reduction gears, propellers, shafts or waterjets. Installed power, electrical generation capacity and machinery arrangement are also absent. It is therefore not possible to determine whether the ship uses CODAD, CODAG, CODOG, CODLAG, integrate",https://www.armyrecognition.com/military-products/navy/frigates/rheinmetall-gmf-140-guided-missile-frigate
40,Naval vessels,77.7,Improved Kilo-Class Project 636,,"Algeria, India, Russia",,"The Russian-made Improved Kilo-class is a modernized version of the Kilo-class diesel-electric attack submarines, originally developed by the Soviet Union. The NATO reporting name for this class is Ki","Type: Diesel-electric attack submarine | Country users: Algeria, India, Russia | Designer Country: Russia, Admiralty Shipyards (St. Petersburg) | Dimensions: Length: 73.8 m; Beam: 9.9 m; Draft: 6.6 m | Speed: 12 knots, Submerged: 19.8 knots",https://www.armyrecognition.com/military-products/navy/submarines/attack-submarines/improved-kilo-class-type-636
